TSV dump below:
 page	date	name	department	amount
1	2025-02-26	Payment #9019	Logistics	$148.33
1	2025-09-04	Transaction #5286	Research	$9026.48
1	2025-03-14	Charge #9604	Development	$9136.44
1	2025-03-22	Payment #1576	Research	$6452.33
1	2025-09-14	Transaction #3850	Development	$1131.12
1	2025-02-14	Charge #8358	Support	$2202.16
1	2025-07-06	Refund #9447	Development	$493.82
1	2025-10-12	Transaction #9922	Development	$6367.37
1	2025-09-21	Charge #3889	Support	$6484.56
1	2025-01-18	Charge #2364	Support	$4933.82
1	2024-12-26	Charge #9843	Support	$1246.45
1	2025-01-30	Refund #3287	Research	$839.95
2	2025-04-16	Refund #8251	Support	$4629.84
2	2025-08-15	Invoice #6640	Logistics	$7530.55
2	2025-06-15	Transfer #5596	Research	$2314.37
2	2025-03-13	Refund #2105	Sales	$4125.64
2	2025-09-15	Transaction #6631	Research	$1679.25
2	2025-08-11	Charge #5474	Mining	$7535.19
2	2025-11-01	Refund #5819	Research	$2318.27
2	2025-02-09	Invoice #1705	Development	$1483.81
2	2025-07-09	Transfer #7431	Mining	$2442.15
2	2025-05-28	Invoice #9273	Research	$2228.95
2	2025-11-21	Refund #7667	Sales	$2901.79
2	2025-09-06	Transaction #3791	Support	$4612.17
3	2025-09-10	Payment #5821	Development	$4660.26
3	2025-04-09	Transaction #9028	Support	$3330.13
3	2024-12-07	Charge #3120	Mining	$6396.45
3	2025-04-23	Charge #5764	Sales	$9549.57
3	2025-01-15	Transfer #6739	Development	$3695.45
3	2025-07-22	Payment #9628	Sales	$8248.5
3	2025-03-08	Transfer #9211	Sales	$1247.56
3	2025-03-10	Charge #8783	Research	$8806.89
3	2024-12-01	Payment #5008	Support	$9157.71
3	2025-05-02	Transaction #1230	Mining	$7817.02
3	2025-10-17	Invoice #1031	Development	$6334.96
3	2025-05-03	Transfer #6942	Research	$7287.45
4	2025-02-06	Transfer #3588	Logistics	$3246.69
4	2025-09-07	Transaction #7420	Support	$8173.93
4	2025-07-19	Transaction #7783	Support	$6601.26
4	2025-03-06	Invoice #6081	Logistics	$7518.7
4	2024-11-30	Charge #3080	Logistics	$5962.97
4	2025-06-07	Transfer #7333	Research	$2085.15
4	2025-10-04	Transaction #7625	Development	$6548.42
4	2025-09-05	Refund #6859	Logistics	$2819.83
4	2025-09-28	Invoice #4073	Logistics	$1765.62
4	2025-07-01	Invoice #5605	Logistics	$8131.59
4	2025-09-25	Refund #1736	Support	$5082.16
4	2025-10-05	Invoice #5214	Support	$4731.28
5	2025-03-20	Payment #5707	Support	$2266.53
5	2025-08-23	Transaction #6883	Mining	$3026.95
5	2025-07-19	Invoice #9684	Research	$2343.85
5	2025-03-08	Transaction #6593	Development	$3492.84
5	2025-07-13	Transfer #4046	Research	$9726.81
5	2025-06-26	Charge #8406	Mining	$2195.43
5	2025-07-09	Transaction #5351	Logistics	$373.99
5	2024-12-05	Refund #9939	Mining	$3367.98
5	2025-06-06	Charge #5538	Sales	$2896.87
5	2025-11-25	Invoice #1296	Development	$111.63
5	2025-06-04	Invoice #5877	Sales	$5176.72
5	2025-05-10	Transaction #5837	Development	$8175.81
6	2025-09-05	Refund #3626	Support	$462.21
6	2025-03-23	Refund #9707	Support	$8882.22
6	2025-04-09	Payment #9447	Sales	$6099.01
6	2025-08-12	Payment #3996	Logistics	$883.09
6	2025-10-12	Invoice #4539	Mining	$6175.25
6	2025-09-02	Transaction #4878	Sales	$3380.71
6	2025-06-22	Invoice #1229	Logistics	$7072.73
6	2025-07-16	Refund #1715	Mining	$1407.37
6	2024-12-23	Transaction #5161	Development	$6085.1
6	2025-06-04	Charge #3595	Support	$2932.53
6	2025-05-02	Transfer #7163	Mining	$5149.95
6	2025-09-02	Transfer #4467	Sales	$344.75
7	2025-03-07	Transfer #6686	Mining	$1694.97
7	2025-06-14	Charge #6200	Support	$1885.21
7	2025-11-12	Transfer #9687	Research	$4166.38
7	2025-06-30	Charge #3706	Sales	$9731.12
7	2025-11-03	Transaction #6916	Logistics	$4334.15
7	2025-01-23	Transfer #5636	Support	$6915.72
7	2025-05-05	Invoice #8698	Sales	$5436.68
7	2025-06-28	Refund #2477	Mining	$4186.78
7	2025-08-01	Transfer #8973	Sales	$2726.02
7	2025-09-02	Charge #5137	Mining	$9778.25
7	2025-10-11	Transfer #6722	Mining	$9958.71
7	2025-05-31	Refund #2404	Sales	$3133.26
8	2025-03-05	Invoice #8906	Support	$8325.08
8	2024-12-19	Charge #7945	Research	$8631.68
8	2025-04-23	Invoice #6014	Research	$4813.39
8	2025-02-28	Transaction #2186	Sales	$4832.8
8	2025-11-05	Invoice #1046	Development	$2595.1
8	2025-01-05	Refund #6408	Mining	$221.2
8	2025-11-03	Invoice #3424	Sales	$5831.38
8	2025-07-14	Payment #4455	Logistics	$9586.21
8	2025-08-23	Transaction #6851	Mining	$7313.56
8	2025-10-02	Refund #4370	Logistics	$2655.65
8	2025-09-07	Transaction #4597	Development	$4127.11
8	2025-11-14	Transfer #1626	Support	$3360.53
9	2025-11-14	Payment #1127	Mining	$1569.22
9	2025-02-20	Transaction #7251	Development	$5366.13
9	2025-07-13	Charge #5584	Support	$9240.47
9	2025-01-10	Refund #4936	Mining	$1073.37
9	2025-10-08	Invoice #9364	Development	$9267.33
9	2024-12-17	Transfer #2960	Mining	$4912.72
9	2025-04-09	Transfer #9134	Development	$2216.57
9	2025-04-06	Payment #5616	Logistics	$6196.98
9	2025-08-08	Charge #2549	Sales	$2791.58
9	2025-02-13	Transfer #9095	Mining	$4003.75
9	2025-09-01	Payment #1177	Logistics	$9629.27
9	2024-12-10	Payment #6137	Logistics	$9033.28
10	2025-08-03	Refund #5819	Mining	$3762.01
10	2025-03-29	Charge #3072	Mining	$5813.18
10	2025-02-11	Charge #4857	Sales	$2250.16
10	2025-10-21	Transfer #5932	Mining	$7733.29
10	2025-08-27	Transfer #5477	Support	$9962.77
10	2025-01-21	Transfer #1376	Support	$9519.3
10	2025-11-19	Invoice #6546	Logistics	$5984.38
10	2025-08-23	Charge #5685	Support	$410.88
